measurement,same_genre,different_genres
similarity,0.02,0.02
similarity,0.02,0.03
similarity,0.08,-0.02
similarity,0.12,-0.01
similarity,0.01,0.05
similarity,0.1,0.03
similarity,0.01,0.07
similarity,-0.05,0
similarity,0.07,-0.02
similarity,0.06,0.05
similarity,0.1,0.15
similarity,0.08,0.27
similarity,-0.02,0.11
similarity,0.01,-0.02
similarity,0.07,-0.02
similarity,0.02,0.03
similarity,0.07,0.02
similarity,0.05,0.09
similarity,0.04,0.1
similarity,-0.07,0
similarity,0.07,0.03
similarity,0.05,0.04
similarity,0.06,0.14
similarity,0.01,0.02
similarity,0,0.01
similarity,0.12,-0.01
similarity,0.1,0.03
similarity,0.08,0.03
similarity,-0.03,0.02
similarity,0.03,-0.02
similarity,0,-0.01
similarity,0.07,-0.02
similarity,0.06,-0.01
similarity,0.01,0.01
similarity,0.09,-0.04
similarity,0.06,-0.01
similarity,-0.05,0.02
similarity,0.07,0.05
similarity,0.12,0.02
similarity,0.06,0.03
similarity,0.15,-0.02
similarity,-0.04,-0.02
similarity,0.12,0.03
similarity,0.03,0.15
similarity,0.02,0.15
similarity,-0.1,0.01
similarity,0.05,0.01
similarity,0,-0.01
similarity,0.04,0
similarity,0.06,0.02
similarity,0.29,0.02
similarity,-0.01,0.27
similarity,0.3,0.11
similarity,-0.01,0.24
similarity,0.08,0.01
similarity,0.05,0.18
similarity,0.06,0.03
similarity,0.04,-0.01
similarity,0.05,-0.01
similarity,0.04,0.02
similarity,0.17,0.07
similarity,0.02,0
similarity,-0.02,-0.03
similarity,0.07,-0.05
similarity,0.05,-0.05
similarity,-0.01,0.19
similarity,0.07,-0.01
similarity,0.01,0.06
similarity,0.35,0.02
similarity,0.01,0.07
similarity,0.09,-0.04
similarity,0.1,0.24
similarity,0.01,0.01
similarity,0.17,0.02
similarity,0.03,0.03
similarity,0,0.05
similarity,0.09,0.12
similarity,0.04,0.02
similarity,0.08,0.03
similarity,0.32,-0.02
similarity,0.03,0.08
similarity,0.15,0.4
similarity,0.02,0.16
similarity,0.2,-0.01
similarity,0.05,-0.15
similarity,0.25,0
similarity,0.1,0.05
similarity,0.12,0.08
similarity,0.27,0.13
similarity,0.07,0.06
similarity,0.06,0.04
similarity,0.01,0.05
similarity,0.09,0.03
similarity,0.01,0.03
similarity,0.01,0
similarity,0.17,-0.01
similarity,0.05,0
similarity,0.09,0
similarity,-0.06,0.28
similarity,0,0.03
similarity,0.01,0.06
similarity,-0.03,0.19
similarity,0.19,-0.01
similarity,-0.01,0.21
similarity,-0.04,0.07
similarity,0.03,0.12
similarity,0.12,0.13
similarity,0.01,0.04
similarity,-0.06,0.02
similarity,-0.04,0.03
similarity,-0.03,0.04
similarity,0.23,0.16
similarity,0.03,0.09
similarity,0.13,0
similarity,-0.13,0.02
similarity,0.07,0.06
similarity,0.08,-0.02
similarity,-0.02,0.04
similarity,0.08,0.01
similarity,0.19,0.03
similarity,0.05,0.04
similarity,0.06,0.3
similarity,-0.03,0.02
similarity,-0.01,0.14
similarity,-0.04,0.09
similarity,0.09,0.01
similarity,0.04,0.1
similarity,-0.03,0.03
similarity,0.03,0.05
similarity,-0.02,0.08
similarity,-0.02,0.14
similarity,0.06,0.01
similarity,0.01,0.14
similarity,0,0.02
similarity,0,0.17
similarity,0.05,0.23
similarity,0.04,0.11
similarity,0.02,0.06
