,Unnamed: 0,romance,non_romance
564,demand,0.0,0.013041697975740212
456,cook,0.0,0.009781273481805158
1245,kick,0.0,0.009781273481805158
1994,shatter,0.0,0.009781273481805158
115,attempt,0.0,0.008966167358321396
51,aim,0.0,0.008151061234837633
316,charge,0.0,0.008151061234837633
2097,snatch,0.0,0.008151061234837633
2111,soak,0.0,0.008151061234837633
2350,threaten,0.0,0.008151061234837633
342,circle,0.0,0.0073359551113538705
1176,inquire,0.0,0.0073359551113538705
1675,protest,0.0,0.0073359551113538705
1803,relieve,0.0,0.0073359551113538705
2079,slump,0.0,0.0073359551113538705
2427,tumble,0.0,0.0073359551113538705
350,clap,0.0,0.006520848987870106
612,direct,0.0,0.006520848987870106
901,fling,0.0,0.006520848987870106
1119,hug,0.0,0.006520848987870106
1613,pop,0.0,0.006520848987870106
2589,wreck,0.0,0.006520848987870106
324,chew,0.0,0.0057057428643863435
414,conceal,0.0,0.0057057428643863435
740,eliminate,0.0,0.0057057428643863435
824,explode,0.0,0.0057057428643863435
1041,grope,0.0,0.0057057428643863435
1313,locate,0.0,0.0057057428643863435
1909,rustle,0.0,0.0057057428643863435
1929,scan,0.0,0.0057057428643863435
1946,scramble,0.0,0.0057057428643863435
2146,split,0.0,0.0057057428643863435
29,adjust,0.0,0.004890636740902579
323,cherish,0.0,0.004890636740902579
368,clothe,0.0,0.004890636740902579
402,complete,0.0,0.004890636740902579
589,destroy,0.0,0.004890636740902579
1086,heave,0.0,0.004890636740902579
1368,measure,0.0,0.004890636740902579
1607,poke,0.0,0.004890636740902579
1655,produce,0.0,0.004890636740902579
1987,shadow,0.0,0.004890636740902579
2268,supply,0.0,0.004890636740902579
2278,suspend,0.0,0.004890636740902579
2586,wound,0.0,0.004890636740902579
2594,writhe,0.0,0.004890636740902579
36,advance,0.0,0.004075530617418817
54,alert,0.0,0.004075530617418817
156,batter,0.0,0.004075530617418817
252,brood,0.0,0.004075530617418817
