,romance,non-romance
$125,0.0,0.0004337284661389937
$30,0.0,0.0004337284661389937
$600,0.0,0.0008674569322779874
$79.89,0.0,0.0004337284661389937
"$85,000",0.0,0.0004337284661389937
'cept,0.0,0.0004337284661389937
'ceptin',0.0,0.0004337284661389937
'ello,0.0008919030196784362,0.0
'em,0.0025383853772904777,0.005246223390268212
'fess,0.0,0.0004337284661389937
'fore,0.0,0.0004337284661389937
'most,0.0008919030196784362,0.0
'n',0.0,0.0004337284661389937
'pache,0.0,0.0004337284661389937
'stead,0.0,0.0004337284661389937
'tain't,0.0,0.0004337284661389937
'till,0.0,0.0004337284661389937
'way,0.0,0.0004337284661389937
1,0.0,0.0004337284661389937
10,0.0006345963443226194,0.0012344055035925204
1105,0.0,0.0030360992629729563
114,0.0,0.0008674569322779874
11:00,0.0,0.0004337284661389937
12,0.0,0.001301185398416981
13,0.0,0.0004337284661389937
138,0.0,0.0004337284661389937
141,0.0008919030196784362,0.0
15,0.0,0.0004337284661389937
15th,0.0,0.0004337284661389937
16,0.0,0.0004337284661389937
160,0.0008919030196784362,0.0
16th,0.0,0.0004337284661389937
1785,0.0,0.0004337284661389937
1786,0.0,0.0004337284661389937
1814,0.0,0.0004337284661389937
1850,0.0,0.0004337284661389937
1865,0.0,0.0004337284661389937
1872,0.0,0.0004337284661389937
1890's,0.0,0.0004337284661389937
1895,0.0,0.0008674569322779874
1898,0.0,0.0004337284661389937
19,0.0,0.0004337284661389937
1916,0.0,0.0004337284661389937
1935,0.0006345963443226194,0.0003086013758981301
1936,0.0008919030196784362,0.0
1937,0.0,0.0004337284661389937
1938,0.0006345963443226194,0.0003086013758981301
1939,0.0,0.0004337284661389937
1940,0.0008919030196784362,0.0
1944,0.0008919030196784362,0.0
1949,0.0,0.0004337284661389937
1951,0.0,0.0004337284661389937
1957,0.0,0.0004337284661389937
2,0.0,0.001301185398416981
20-year-old,0.0,0.0004337284661389937
200,0.0,0.001301185398416981
20th,0.0,0.0004337284661389937
21,0.0,0.0004337284661389937
22nd,0.0,0.0004337284661389937
230,0.0008919030196784362,0.0
25,0.0,0.0004337284661389937
275,0.0,0.001301185398416981
28,0.0,0.0004337284661389937
3,0.0006345963443226194,0.0009258041276943903
30,0.0,0.0004337284661389937
300,0.0,0.001301185398416981
34,0.0,0.0004337284661389937
35,0.0,0.0004337284661389937
350,0.0,0.0004337284661389937
387,0.0,0.0004337284661389937
4,0.0,0.0004337284661389937
400,0.0,0.0004337284661389937
4000-plus,0.0008919030196784362,0.0
407,0.0,0.0004337284661389937
5,0.0,0.0004337284661389937
5-foot,0.0,0.0004337284661389937
50,0.0,0.0004337284661389937
573,0.0,0.0004337284661389937
6,0.0,0.0004337284661389937
6',0.0008919030196784362,0.0
60,0.0,0.0004337284661389937
600,0.0,0.0004337284661389937
677,0.0,0.0004337284661389937
700,0.0,0.0004337284661389937
7:30,0.0,0.0008674569322779874
7:45,0.0,0.0004337284661389937
8,0.0,0.0004337284661389937
80,0.0,0.0008674569322779874
90,0.0,0.0004337284661389937
99.1,0.0,0.0004337284661389937
9:47,0.0,0.0004337284661389937
a,0.03046062452748573,0.05246223390268212
a's,0.0008919030196784362,0.0
a-26,0.0,0.0004337284661389937
a-drinking,0.0,0.0004337284661389937
a-gracious,0.0,0.0004337284661389937
a-raising,0.0,0.0004337284661389937
a-tall,0.0,0.0004337284661389937
a-z,0.004459515098392181,0.0
a-z's,0.0008919030196784362,0.0
a.,0.0,0.001301185398416981
a.m.,0.0006345963443226194,0.002160209631286911
a.m.a.,0.0,0.0004337284661389937
a40-ajk,0.0008919030196784362,0.0
aa,0.0008919030196784362,0.0
aaa-ee,0.0,0.0004337284661389937
