,romance,non_romance
abandon,0.0011881220626005532,0.0034797283210293664
abate,0.0,0.0008151061234837633
abet,0.0,0.0008151061234837633
absent,0.0011881220626005532,0.0005799547201715611
absorb,0.004752488250402213,0.0011599094403431222
abstract,0.0,0.0008151061234837633
abuse,0.0,0.0008151061234837633
accent,0.0,0.0008151061234837633
accept,0.00712873237560332,0.006379501921887172
accommodate,0.0,0.0016302122469675265
accompany,0.00356436618780166,0.0023198188806862444
accomplish,0.0011881220626005532,0.0023198188806862444
accost,0.0,0.0008151061234837633
account,0.0011881220626005532,0.0017398641605146832
accuse,0.004752488250402213,0.0034797283210293664
accustom,0.0011881220626005532,0.0023198188806862444
ache,0.0011881220626005532,0.0028997736008578054
achieve,0.0011881220626005532,0.0011599094403431222
acknowledge,0.0011881220626005532,0.0011599094403431222
acquaint,0.0011881220626005532,0.0011599094403431222
acquire,0.0023762441252011064,0.0017398641605146832
act,0.00356436618780166,0.013338958563945905
activate,0.0,0.0016302122469675265
actuate,0.0,0.0008151061234837633
adapt,0.0,0.0008151061234837633
add,0.016633708876407746,0.01623873216480371
address,0.00356436618780166,0.0034797283210293664
adjoin,0.0,0.0016302122469675265
adjudge,0.0,0.0008151061234837633
adjust,0.0,0.004890636740902579
administer,0.0,0.0024453183704512896
admire,0.005940610313002766,0.0017398641605146832
admit,0.011881220626005532,0.0104391849630881
admonish,0.0,0.0008151061234837633
adopt,0.0016698641031585818,0.0
adore,0.0,0.0008151061234837633
advance,0.0,0.0040755306174188165
adventure,0.0,0.0008151061234837633
advertise,0.004752488250402213,0.004639637761372489
advise,0.0011881220626005532,0.004639637761372489
advocate,0.0016698641031585818,0.0
affect,0.00356436618780166,0.0011599094403431222
affiance,0.0,0.0008151061234837633
affirm,0.0,0.0008151061234837633
afford,0.0023762441252011064,0.0034797283210293664
affront,0.0,0.0008151061234837633
age,0.004752488250402213,0.0017398641605146832
aggrieve,0.0,0.0008151061234837633
agree,0.005940610313002766,0.011599094403431221
ah,0.0,0.0008151061234837633
aid,0.0023762441252011064,0.0011599094403431222
aim,0.0,0.008151061234837633
air,0.0,0.0008151061234837633
alarm,0.0011881220626005532,0.0023198188806862444
alert,0.0,0.0040755306174188165
alleviate,0.0,0.0016302122469675265
allot,0.0,0.0008151061234837633
allow,0.00356436618780166,0.00521959248154405
ally,0.0033397282063171636,0.0
alter,0.0023762441252011064,0.0005799547201715611
amaze,0.00356436618780166,0.0011599094403431222
ambush,0.0,0.0024453183704512896
amend,0.0,0.0008151061234837633
amount,0.0011881220626005532,0.0034797283210293664
amuse,0.0011881220626005532,0.0011599094403431222
analyze,0.0033397282063171636,0.0
anchor,0.0,0.0024453183704512896
angle,0.0,0.0016302122469675265
animate,0.0011881220626005532,0.0005799547201715611
announce,0.00712873237560332,0.008699320802573416
annoy,0.0023762441252011064,0.0017398641605146832
ansuh,0.0,0.0008151061234837633
answer,0.020198075064209405,0.0208783699261762
anticipate,0.0011881220626005532,0.0017398641605146832
apologize,0.0011881220626005532,0.0005799547201715611
appal,0.0016698641031585818,0.0
appeal,0.0011881220626005532,0.0017398641605146832
appear,0.009504976500804426,0.01565877744463215
appease,0.0016698641031585818,0.0
apply,0.004752488250402213,0.00521959248154405
appoint,0.0023762441252011064,0.0011599094403431222
appraise,0.0,0.0008151061234837633
appreciate,0.004752488250402213,0.005799547201715611
apprehend,0.0,0.0008151061234837633
approach,0.00712873237560332,0.013338958563945905
approve,0.0,0.0008151061234837633
approximate,0.0,0.0008151061234837633
arch,0.004752488250402213,0.0005799547201715611
argue,0.004752488250402213,0.0023198188806862444
arise,0.0023762441252011064,0.0034797283210293664
arm,0.0011881220626005532,0.0023198188806862444
armor,0.0,0.0008151061234837633
arouse,0.0011881220626005532,0.0017398641605146832
arrange,0.005940610313002766,0.0034797283210293664
arrest,0.0011881220626005532,0.0011599094403431222
arrive,0.004752488250402213,0.0104391849630881
arrogate,0.0,0.0008151061234837633
art,0.0011881220626005532,0.0011599094403431222
ascend,0.0011881220626005532,0.0005799547201715611
ascertain,0.0,0.0008151061234837633
ask,0.0712873237560332,0.0922128005072782
assail,0.0016698641031585818,0.0
assault,0.0,0.0008151061234837633
assemble,0.0011881220626005532,0.0005799547201715611
assign,0.0011881220626005532,0.0028997736008578054
assimilate,0.0016698641031585818,0.0
associate,0.0,0.0008151061234837633
assort,0.0,0.0016302122469675265
assuage,0.0016698641031585818,0.0
assume,0.005940610313002766,0.007539411362230294
assure,0.004752488250402213,0.004639637761372489
astonish,0.0,0.0016302122469675265
attach,0.0011881220626005532,0.006959456642058733
attack,0.0011881220626005532,0.004059683041200928
attain,0.0,0.0016302122469675265
attempt,0.0,0.008966167358321396
attend,0.004752488250402213,0.0005799547201715611
attract,0.0011881220626005532,0.004059683041200928
augment,0.0,0.0008151061234837633
autopsy,0.0,0.0008151061234837633
avail,0.0011881220626005532,0.0017398641605146832
avert,0.0011881220626005532,0.0005799547201715611
avoid,0.0023762441252011064,0.004639637761372489
await,0.0023762441252011064,0.0017398641605146832
awake,0.0023762441252011064,0.0017398641605146832
awaken,0.0,0.003260424493935053
award,0.0016698641031585818,0.0
awe,0.0011881220626005532,0.0005799547201715611
babbiting,0.0,0.0008151061234837633
babble,0.0,0.0016302122469675265
back,0.005940610313002766,0.015078822724460587
badger,0.0016698641031585818,0.0
baffle,0.0023762441252011064,0.0005799547201715611
bag,0.0016698641031585818,0.0
bail,0.0,0.0016302122469675265
bait,0.0,0.0008151061234837633
bake,0.00356436618780166,0.0011599094403431222
balance,0.0011881220626005532,0.0005799547201715611
balk,0.0,0.0008151061234837633
ball,0.0,0.0016302122469675265
band,0.0,0.0008151061234837633
bandage,0.0,0.0016302122469675265
bang,0.0023762441252011064,0.0023198188806862444
bank,0.0011881220626005532,0.0005799547201715611
bankrupt,0.0,0.0008151061234837633
banter,0.0,0.0008151061234837633
bar,0.0,0.0016302122469675265
barb,0.0,0.0024453183704512896
barge,0.0,0.0008151061234837633
barrel,0.0,0.0008151061234837633
barricade,0.0,0.0008151061234837633
base,0.0011881220626005532,0.0011599094403431222
bask,0.0016698641031585818,0.0
bat,0.005940610313002766,0.0023198188806862444
bath,0.005940610313002766,0.0017398641605146832
bathe,0.0,0.0008151061234837633
batter,0.0,0.0040755306174188165
bawl,0.0,0.0016302122469675265
bead,0.0,0.0008151061234837633
beam,0.0,0.0008151061234837633
bear,0.004752488250402213,0.007539411362230294
beard,0.0011881220626005532,0.0005799547201715611
beat,0.005940610313002766,0.012179049123602782
beckon,0.0,0.0016302122469675265
become,0.01900995300160885,0.03943692097166615
bed,0.0,0.0008151061234837633
befall,0.0,0.0008151061234837633
befit,0.0,0.0008151061234837633
beg,0.011881220626005532,0.004059683041200928
beget,0.0016698641031585818,0.0
begin,0.04633676044142158,0.05277587953561206
begrudge,0.0,0.0008151061234837633
behave,0.0023762441252011064,0.0028997736008578054
behold,0.0,0.0024453183704512896
belch,0.0,0.003260424493935053
belie,0.0011881220626005532,0.0011599094403431222
believe,0.01900995300160885,0.02783782656823493
bellow,0.0023762441252011064,0.0017398641605146832
belong,0.004752488250402213,0.006959456642058733
bend,0.00712873237560332,0.006959456642058733
benefit,0.0,0.0016302122469675265
beseech,0.0016698641031585818,0.0
beset,0.0011881220626005532,0.0005799547201715611
besiege,0.0,0.0008151061234837633
besmirch,0.0,0.0008151061234837633
best,0.0016698641031585818,0.0
bestow,0.0016698641031585818,0.0
bet,0.0023762441252011064,0.0034797283210293664
betray,0.0,0.003260424493935053
better,0.0016698641031585818,0.0
bewilder,0.0,0.003260424493935053
bide,0.0,0.0008151061234837633
bind,0.0011881220626005532,0.004059683041200928
birth,0.0,0.0008151061234837633
bite,0.00356436618780166,0.007539411362230294
black,0.0,0.0016302122469675265
blame,0.004752488250402213,0.006379501921887172
blare,0.0,0.0016302122469675265
blast,0.0,0.0024453183704512896
blaze,0.0011881220626005532,0.0028997736008578054
bleach,0.0011881220626005532,0.0028997736008578054
bleed,0.0023762441252011064,0.0034797283210293664
blend,0.0016698641031585818,0.0
bless,0.005940610313002766,0.0011599094403431222
blight,0.0,0.0008151061234837633
blind,0.0,0.0024453183704512896
blink,0.0011881220626005532,0.0023198188806862444
blister,0.0016698641031585818,0.0
bloat,0.0016698641031585818,0.0
block,0.0011881220626005532,0.0017398641605146832
bloom,0.0011881220626005532,0.0017398641605146832
blossom,0.0,0.0008151061234837633
blow,0.0023762441252011064,0.009859230242916538
bludgeon,0.0016698641031585818,0.0
blur,0.0,0.0016302122469675265
blurt,0.0,0.0016302122469675265
blush,0.00356436618780166,0.0023198188806862444
